Date,Month,Visitors (Visit),Buyers (Placed Orders),Units (Placed Orders),Orders (Placed Orders),Sales (Placed Orders) (VND),Conversion Rate (Visit to Placed),Buyers (Confirmed Orders),Units(Confirmed Orders),Orders (Confirmed Orders),Sales(Confirmed Orders) (VND),Sales per Buyer (Confirmed Orders) (VND),Conversion Rate
5/24/2025,5,487077,2500,4381,2720,851638160,0.51%,2310,3835,2392,742694716,321513,0.47%
5/25/2025,5,667779,8829,19365,10259,2813187923,1.32%,8041,16216,8608,2332135973,290031,1.20%
5/26/2025,5,590969,3007,5801,3362,990723158,0.51%,2894,5214,3035,877722911,303291,0.49%
5/27/2025,5,492373,2595,4493,2889,875377626,0.53%,2409,3887,2536,735215349,305195,0.49%
5/28/2025,5,616838,3853,7530,4366,1318600305,0.62%,3444,6177,3644,1060346230,307882,0.56%
5/29/2025,5,530825,2919,4912,3204,948557418,0.55%,2761,4415,2871,841189833,304669,0.52%
5/30/2025,5,608182,2639,4294,2881,837158504,0.43%,2440,3782,2531,732819463,300336,0.40%
5/31/2025,5,618500,2582,4320,2835,847627859,0.42%,2380,3747,2474,733842733,308337,0.38%
6/1/2025,6,708006,5747,11093,6431,1753800372,0.81%,5240,9434,5511,1483912689,283189,0.74%
6/2/2025,6,700531,3960,7812,4421,1225735913,0.57%,3697,6847,3871,1066614887,288508,0.53%
6/3/2025,6,609408,2729,4666,2963,864127001,0.45%,2579,4237,2687,778429116,301834,0.42%
6/4/2025,6,627032,2936,5363,3273,917903935,0.47%,2633,4460,2754,772708189,293471,0.42%
6/5/2025,6,1170786,14083,29035,16746,4317063274,1.20%,11503,21621,12608,3209754339,279036,0.98%
6/6/2025,6,1661187,56354,156666,74363,21073302181,3.39%,50371,124158,59036,16608924349,329732,3.03%
6/7/2025,6,698621,6769,14981,8114,2160795704,0.97%,8320,17589,9200,2438639793,293106,1.19%
6/8/2025,6,639160,2830,4791,3123,938108333,0.44%,2714,4470,2856,846134385,311767,0.42%
6/9/2025,6,614578,2789,4725,3091,916555015,0.45%,2668,4288,2783,810806959,303901,0.43%
6/10/2025,6,732341,5519,9947,6257,1676091897,0.75%,4926,8304,5218,1397347945,283668,0.67%
6/11/2025,6,525178,3118,4954,3389,916569259,0.59%,3095,4687,3217,856586727,276765,0.59%
6/12/2025,6,524423,3256,5119,3590,946951971,0.62%,3055,4602,3201,846933856,277229,0.58%
6/13/2025,6,430689,3097,4921,3397,932413002,0.72%,2902,4363,3014,821182074,282971,0.67%
6/14/2025,6,708599,5077,9427,5779,1586995178,0.72%,4418,7663,4707,1295257463,293177,0.62%
6/15/2025,6,994185,19940,50749,24522,6548812638,2.01%,17822,41248,19985,5319968930,298506,1.79%
6/16/2025,6,642237,4575,8758,5073,1376176206,0.71%,4917,9110,5164,1367441295,278105,0.77%
6/17/2025,6,724893,7478,18813,8957,2514503224,1.03%,6720,15485,7459,2088634097,310809,0.93%
6/18/2025,6,752998,6828,15294,7798,2136786303,0.91%,6403,13535,6881,1865313389,291319,0.85%
6/19/2025,6,829779,8572,19805,10028,2814429207,1.03%,7743,16489,8365,2327600445,300607,0.93%
6/20/2025,6,641581,4608,8539,5163,1352603307,0.72%,4417,7755,4666,1216385421,275387,0.69%
6/21/2025,6,554617,2987,4805,3236,879573284,0.54%,2905,4541,3019,818863865,281881,0.52%
6/22/2025,6,511470,3231,5024,3492,935337551,0.63%,3060,4580,3163,847628597,277003,0.60%
6/23/2025,6,510455,3176,4995,3443,922871367,0.62%,2988,4448,3077,818400537,273896,0.59%
6/24/2025,6,626105,4677,7979,5144,1330104701,0.75%,4240,6862,4441,1149982542,271222,0.68%
6/25/2025,6,847914,12219,28246,14334,3905567383,1.44%,11004,23718,12060,3274552654,297578,1.30%
6/26/2025,6,486463,3164,5187,3482,939152511,0.65%,3299,5327,3447,923068102,279802,0.68%
6/27/2025,6,417119,3106,5018,3387,931485318,0.74%,2931,4524,3041,830497194,283349,0.70%
6/28/2025,6,478199,3225,5181,3563,973791541,0.67%,3028,4616,3166,857515460,283195,0.63%
6/29/2025,6,517019,3595,5761,3944,1104008848,0.70%,3388,5150,3546,968551268,285877,0.66%
6/30/2025,6,576514,3847,6129,4224,1151366041,0.67%,3569,5377,3725,1007542786,282304,0.62%
7/1/2025,7,912177,5827,10722,6516,1718607339,0.64%,5302,9269,5624,1467177059,276721,0.58%
7/2/2025,7,759020,3449,5501,3779,982805204,0.45%,3312,5048,3440,885858371,267469,0.44%
7/3/2025,7,1073558,4306,7197,4754,1240733595,0.40%,4063,6439,4257,1105163761,272007,0.38%
7/4/2025,7,685126,3518,5575,3884,1009676690,0.51%,3316,4975,3459,890072785,268418,0.48%
7/5/2025,7,711689,3267,5482,3579,995867615,0.46%,3039,4817,3149,874358725,287713,0.43%
7/6/2025,7,1235113,14313,35595,17255,4892107328,1.16%,11994,27434,13346,3769518617,314284,0.97%
7/7/2025,7,1710350,53781,141108,67073,19344310490,3.14%,48817,117118,55562,15910974284,325931,2.85%
7/8/2025,7,682321,5350,9888,6003,1646160952,0.78%,6847,13061,7296,2020999219,295166,1.00%
7/9/2025,7,594383,3626,5905,3998,1112716646,0.61%,3501,5464,3661,1015950322,290189,0.59%
7/10/2025,7,698735,4905,9418,5479,1561911228,0.70%,4578,8292,4811,1368052716,298832,0.66%
7/11/2025,7,584073,3984,6244,4394,1147893923,0.68%,3761,5629,3934,1024211064,272324,0.64%
7/12/2025,7,987394,4246,6800,4699,1285881729,0.43%,4011,6121,4213,1149360350,286552,0.41%
7/13/2025,7,613960,4070,6598,4475,1195580013,0.66%,3848,5927,4011,1066855413,277249,0.63%
7/14/2025,7,876782,5541,11647,6268,1806878997,0.63%,5097,10104,5462,1562756398,306603,0.58%
7/15/2025,7,1007198,15568,36283,18161,4871947534,1.55%,14512,31937,15959,4266205208,293978,1.44%
7/16/2025,7,592740,3566,5773,3876,1036985819,0.60%,3674,5923,3825,1017025516,276817,0.62%
7/17/2025,7,633781,3271,5455,3599,988003544,0.52%,3142,5047,3310,906704217,288576,0.50%
7/18/2025,7,625861,3866,6223,4304,1198722473,0.62%,3671,5621,3885,1071938096,292002,0.59%
7/19/2025,7,625248,3169,4894,3464,948580606,0.51%,3025,4478,3172,866140384,286327,0.48%
7/20/2025,7,827703,6241,12296,7047,2063098627,0.75%,5787,10862,6226,1820102271,314516,0.70%
7/21/2025,7,726237,2988,4776,3282,897445183,0.41%,2914,4481,3069,836269823,286983,0.40%
7/22/2025,7,615730,3266,5103,3556,995632417,0.53%,3121,4681,3251,907177604,290669,0.51%
7/23/2025,7,637794,3464,5650,3793,1050123364,0.54%,3313,5215,3491,962055297,290388,0.52%
7/24/2025,7,793524,5076,11328,5787,1684499392,0.64%,4640,9870,5053,1470531630,316925,0.58%
7/25/2025,7,1041099,13137,33164,15733,4341280411,1.26%,12071,28901,13671,3776201209,312833,1.16%
7/26/2025,7,640129,3049,5437,3367,915690578,0.48%,3095,5421,3274,884564503,285804,0.48%
7/27/2025,7,667131,2883,4608,3129,860314252,0.43%,2736,4215,2863,779838688,285029,0.41%
